listing_id,listing_name,listing_type,room_type,guests,bedrooms,beds,baths,has_tv,has_air_con,has_kitchen,has_wifi,has_pool,min_nights,cancellation_policy,num_reviews,rating_overall,rating_checkin,rating_cleanliness,rating_communication,rating_location,ttm_revenue,ttm_avg_rate,ttm_occupancy,ttm_revpar,ttm_reserved_days,ttm_available_days,l90d_revenue,l90d_avg_rate,l90d_occupancy,l90d_revpar,l90d_reserved_days,l90d_available_days
18266725,Comfy 3-BR Retreat | Sleeps 6 | Ideal for Families,Condominium,Entire home,6,3,4,1,Yes,Yes,Yes,Yes,Yes,1,Flexible,53,4.53,4.6,4.5,4.7,4.4,154828,4257.7,9.60E-02,424.2,35,330,0,4074.9,0,0,0,90
18508351,Chic 2-BR Condo| CCLEX Accessible,Condominium,Entire home,5,2,2,1,Yes,Yes,Yes,Yes,Yes,1,Flexible,38,4.21,4.5,4.2,4.4,4,58193,2800.7,4.40E-02,159.4,16,349,2565,2456.4,1.10E-02,28.5,1,89
18529168,One Pavillion Condo in Cebu free use of pool n gym,Condominium,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,30,Flexible,1,,,,,,26435,1530.4,4.40E-02,72.4,16,349,0,1284.1,0,0,0,90
18567868,"Studio Room at Avida Towers, Cebu IT Park",Condominium,Entire home,2,2,1,1,Yes,Yes,Yes,Yes,Yes,3,Flexible,68,4.93,4.9,4.9,4.9,5,100468,1217.7,0.235,287.9,82,283,6248,1049.3,6.70E-02,69.4,6,84
18620659,*Promo* Modern Studio - Flexible Check In/Out,Others,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,2,Flexible,85,4.79,4.9,4.9,4.9,4.8,236870,1643.3,0.425,649,155,210,66032,1363.2,0.533,733.7,48,42
18658403,A homey studio,Condominium,Entire home,2,,2,1.5,Yes,Yes,Yes,Yes,Yes,2,Flexible,34,4.71,4.9,4.5,4.9,4.9,361125,1583.2,0.726,1135.6,231,134,93243,1631.5,0.611,1036,55,35
18737483,Avida Tower 1/Cebu City/I.T park/Fast WiFi,Others,Entire home,2,1,1,1,Yes,Yes,Yes,Yes,Yes,2,Moderate,203,4.87,4.9,4.8,4.8,4.9,427517,2204.6,0.521,1171.3,190,175,68150,1774.7,0.422,757.2,38,52
19022479,Casa Giuseppe Cebu 2,Others,Entire home,2,,2,1,Yes,Yes,Yes,Yes,No,2,Moderate,14,4.79,5,4.9,5,4.7,41098,2423,4.90E-02,112.6,18,347,0,2480,0,0,0,90
19263801,"2br near IT Park,Waterfront,Ayala,SM,nocreditcard,",Condominium,Entire home,8,2,5,1,Yes,Yes,Yes,Yes,No,2,Very Strict,77,4.56,4.8,4.6,4.8,4.5,143938,1918.2,0.197,394.4,72,293,28945,1675.6,0.189,321.6,17,73
19441423,Pool Front View 2BR Amalfi Cebu City near NuStar,Condominium,Entire home,4,2,3,1,Yes,Yes,Yes,Yes,Yes,4,Moderate,45,4.93,5,4.8,4.9,4.6,52480,4092,3.50E-02,152.6,12,353,0,4346.3,0,0,0,90
19547040,"2 Bed Condo, City de Mare, Cebu SRP, Nu Star, SM Moa",Others,Entire home,4,2,4,1,Yes,Yes,Yes,Yes,Yes,4,Very Strict,101,4.92,5,4.8,5,4.7,745918,2506.3,0.816,2043.6,298,67,202727,2470,0.911,2252.5,82,8
19613673,Luce del Sole's Studio Unit in Cebu City,Condominium,Entire home,4,,2,1,Yes,Yes,Yes,No,Yes,2,Moderate,6,4.5,4.7,4.7,4.7,3.7,21612,1978.7,3.00E-02,59.2,11,354,3848,1912.8,2.20E-02,42.8,2,88
19852665,"Avida Towers Cebu City PH (Cheap, Fully Furnished)",Condominium,Entire home,2,1,1,1.5,Yes,Yes,Yes,Yes,Yes,14,Moderate,11,4.82,4.9,4.6,5,4.9,106530,1491.9,0.215,337.1,68,297,8085,1399.1,6.70E-02,89.8,6,84
20001132,"Chic Studio w/ Netflix @ Avida Tower, Cebu IT Park",Condominium,Entire home,2,1,2,1,Yes,Yes,Yes,Yes,Yes,3,Moderate,100,4.61,4.8,4.4,4.8,4.9,325963,1740.2,0.525,910.5,188,177,98387,1668.2,0.693,1118,61,29
20096791,Five-Family Flat Bunk Seaview Pool WiFi near CBP,Others,Entire home,5,1,2,1,No,Yes,Yes,Yes,Yes,2,Very Strict,109,4.73,4.9,4.7,4.9,4.7,55176,1138,0.115,151.2,42,323,0,921.9,0,0,0,90
20117116,San Remo Oasis (2BR)-near SM Seaside/Ocean Park!,Condominium,Entire home,5,2,2,1,Yes,Yes,Yes,Yes,Yes,1,Strict,128,4.74,4.7,4.8,4.9,4.6,347466,2754,0.337,952,123,242,29224,2643.5,0.133,324.7,12,78
20156353,Kuarto Cebu - Mivesa,Condominium,Entire home,2,,2,1,Yes,No,Yes,Yes,Yes,5,Very Strict,56,4.86,4.9,4.7,4.8,4.6,348869,1175,0.83,955.8,303,62,93870,1188.6,0.867,1043,78,12
20178030,"Cozy Modern 2BR Loft Monterrazas Area, Cebu City",Home,Entire home,5,2,4,3,No,Yes,Yes,Yes,No,4,Moderate,46,4.63,4.8,4.7,4.9,4.2,243515,2825.1,0.403,1127.4,87,278,16230,2748.5,0.462,1248.5,6,84
20179631,Lovely Space at Horizon 101,Others,Entire home,2,,1,1,Yes,Yes,Yes,Yes,Yes,3,Very Strict,55,4.91,5,4.9,5,5,269391,1361.2,0.564,738.1,206,159,48235,1123.3,0.478,535.9,43,47
20486245,Mi Casa de San Remo | WIFI | PARKING,Condominium,Entire home,5,2,3,1,Yes,Yes,Yes,Yes,Yes,2,Flexible,12,5,4.9,4.8,5,4.8,41145,2896.3,0.039,115.3,14,351,0,0,0,0,0,90
20559082,COMFORT & LUXURY in The G¥ñ of Cebu City!,Condominium,Entire home,6,2,3,2,Yes,Yes,Yes,Yes,Yes,3,Strict,152,4.77,4.8,4.7,4.8,4.9,832710,5892.4,0.474,2842,139,226,0,5940.1,0,0,0,90
